CUSTOMER_ID,STORE_NUMBER,ORDER_ID,ORDER_CHANNEL_NAME,ORDER_SUBCHANNEL_NAME,ORDER_OCCASION_NAME,CUSTOMER_TYPE,item1,item2,item3,RECOMMENDATION 1,RECOMMENDATION 2,RECOMMENDATION 3
285598610,4970,6675277727,Digital,WWT,ToGo,Registered,2 pc Crispy Strips,Ranch Dip - Large,10 pc Grilled Wings,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
948060334,1905,786744543,Digital,WWT,Delivery,Guest,Honey Mustard Dip - Regular,20 pc Grilled Wings,Cheese Fries - Large,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
560251967,4391,3897845188,Digital,WWT,Delivery,Guest,20pc Spicy Feast Deal,Ranch Dip - Regular,2 pc Crispy Strips,Regular Buffalo Fries,10 pc Grilled Wings Combo,Ranch Dip - Large
985597830,820,4587042437,Digital,WWT,ToGo,Registered,Regular Buffalo Fries,20 Oz Soda,Ranch Dip - Regular,20pc Spicy Feast Deal,Ranch Dip - Large,Fried Corn - Regular
890080832,801,3772126021,Digital,WWT,ToGo,Registered,10 pc Spicy Wings,Ranch Dip - Regular,Chicken Sub Combo,Regular Buffalo Fries,10 pc Grilled Wings Combo,Ranch Dip - Large
475221027,2315,9876633715,Digital,WWT,ToGo,Registered,2 pc Crispy Strips,6 pc Mixed Wings Combo,8 pc Grilled Wings Combo,Ranch Dip - Regular,6 pc Grilled Wings Combo,Fried Corn - Regular
322821945,4391,5581851889,Digital,WWT,ToGo,Registered,Voodoo Fries - Regular,Ranch Dip - Regular,Chicken Sub,20pc Spicy Feast Deal,Regular Buffalo Fries,Ranch Dip - Large
577481561,820,2603279335,Digital,WWT,ToGo,Guest,4 pc Crispy Strips,15 pc Grilled Wings,Fried Corn - Regular,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
27439257,2315,6369834776,Digital,WWT,ToGo,Registered,Fried Corn - Large,8 pc Spicy Wings Combo,5 pc Crispy Strips Combo,Ranch Dip - Regular,10 pc Grilled Wings Combo,Regular Buffalo Fries
593885644,4154,8063821668,Digital,WWT,ToGo,Registered,15 pc Mixed Wings Combo,Triple Chocolate Cake,Chicken Sub,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
354914217,3989,2931287031,Digital,WWT,ToGo,Guest,Ranch Dip - Regular,Add 5 Spicy Wings,10 pc Spicy Wings,Regular Buffalo Fries,20pc Spicy Feast Deal,Ranch Dip - Large
798880002,949,5434557025,Digital,WWT,ToGo,Registered,6 pc Spicy Wings Combo,8 pc Grilled Wings Combo,7 pc Crispy Strips,Ranch Dip - Regular,Regular Buffalo Fries,6 pc Grilled Wings Combo
647112527,4750,8268916448,Digital,WWT,ToGo,Registered,6 pc Spicy Wings Combo,50 pc Grilled Wings,Ranch Dip - Regular,Ranch Dip - Large,Regular Buffalo Fries,10 pc Grilled Wings Combo
607843353,1161,8140769629,Digital,WWT,ToGo,Guest,Ranch Dip - Regular,10 pc Mixed Wings,Regular Buffalo Fries,10 pc Spicy Wings,Ranch Dip - Large,Fried Corn - Regular
370391246,2513,3474583684,Digital,WWT,ToGo,Registered,Cheese Fries - Large,20 pc Mixed Wings,Fried Corn - Large,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
303385308,1161,3461378541,Digital,WWT,ToGo,Registered,6 pc Spicy Wings Combo,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Spicy Wings,Fried Corn - Regular,Ranch Dip - Large
240482090,1905,8619245253,Digital,WWT,ToGo,Guest,Ranch Dip - Large,10 pc Spicy Wings,Fried Corn - Large,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
479278166,1905,9425701393,Digital,WWT,ToGo,Registered,2 pc Crispy Strips,3 pc Crispy Strips Combo,Ranch Dip - Regular,10 pc Grilled Wings Combo,Regular Buffalo Fries,Ranch Dip - Large
481060039,2513,9376327890,Digital,WWT,ToGo,Registered,32 Oz Soda,20pc Spicy Feast Deal,20 Oz Soda,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Spicy Wings
792223703,4750,4182647480,Digital,WWT,ToGo,Guest,Ranch Dip - Large,Add 5 Grilled Wings,15 pc Grilled Wings,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
197588117,3989,4003611924,Digital,WWT,ToGo,Registered,10 pc Grilled Wings Combo,Add 5 Spicy Wings,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries,Ranch Dip - Large
810719895,1754,9664258299,Digital,WWT,ToGo,Registered,Large Buffalo Fries,Ranch Dip - Large,Voodoo Fries - Large,Ranch Dip - Regular,20pc Spicy Feast Deal,Fried Corn - Large
424704673,4595,6513020303,Digital,WWT,ToGo,Registered,Veggie Sticks Spicy,20pc Spicy Feast Deal,20 Oz Soda,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Grilled Wings Combo
898392104,2315,3038848982,Digital,WWT,ToGo,Registered,6 pc Spicy Wings Combo,2 pc Crispy Strips,Large Buffalo Fries,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
999339497,2513,8376685289,Digital,WWT,ToGo,Registered,Chicken Sub Combo,Blue Cheese Dip - Regular,Veggie Sticks Spicy,Ranch Dip - Regular,10 pc Grilled Wings Combo,Regular Buffalo Fries
671933285,1249,5557489897,Digital,WWT,ToGo,Registered,Ranch Dip - Regular,2 pc Crispy Strips,10 pc Grilled Wings,Regular Buffalo Fries,20pc Spicy Feast Deal,Ranch Dip - Large
483400502,4595,5074642260,Digital,WWT,ToGo,Registered,10 pc Mixed Wings Combo,15 pc Grilled Wings,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Grilled Wings Combo,Ranch Dip - Large
556772768,4391,8463957236,Digital,WWT,Delivery,Registered,2 pc Crispy Strips,32 Oz Soda,10 pc Spicy Wings Combo,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
914158493,4915,8529031849,Digital,WWT,ToGo,Registered,Large Buffalo Fries,15 pc Crispy Strips,Carrot Sticks,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
24561343,2786,2360269841,Digital,WWT,Delivery,Guest,Ranch Dip - Regular,Chicken Sub,Large Buffalo Fries,20pc Spicy Feast Deal,Regular Buffalo Fries,Ranch Dip - Large
271491431,1390,6957515655,Digital,WWT,ToGo,Registered,Ranch Dip - Large,Regular Buffalo Fries,6 pc Grilled Wings Combo,Ranch Dip - Regular,20pc Spicy Feast Deal,Large Buffalo Fries
766490388,4915,560924059,Digital,WWT,ToGo,Guest,10 pc Spicy Wings,Regular Buffalo Fries,Fried Corn - Large,Ranch Dip - Regular,20pc Spicy Feast Deal,Large Buffalo Fries
740886021,4065,7557215476,Digital,WWT,ToGo,Registered,6 pc Grilled Wings Combo,Ranch Dip - Regular,3 pc Crispy Strips Combo,10 pc Grilled Wings Combo,Regular Buffalo Fries,Dipping Sauce
806107795,1754,7576879386,Digital,WWT,ToGo,Registered,Chicken Sub,Chicken Sub Combo,10 pc Spicy Wings,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
844564898,801,2024803542,Digital,WWT,ToGo,Registered,6 pc Strips Meal for 2,5 pc Crispy Strips Combo,Ranch Dip - Large,Ranch Dip - Regular,2 pc Crispy Strips,Regular Buffalo Fries
903058196,822,958258271,Digital,WWT,ToGo,Registered,20 Oz Soda,Regular Buffalo Fries,Chicken Sub Combo,Ranch Dip - Regular,20pc Spicy Feast Deal,Fried Corn - Regular
798400642,1390,1115322441,Digital,WWT,ToGo,Registered,20pc Spicy Feast Deal,Blue Cheese Dip - Regular,10 pc Spicy Wings,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Grilled Wings
521638597,1731,8289961904,Digital,WWT,ToGo,Registered,Ranch Dip - Large,20 pc Grilled Wings,Flavor Platter,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
209881945,1765,8903503849,Digital,WWT,ToGo,Registered,Carrot Sticks,30 pc Spicy Wings,Veggie Sticks,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
313686490,266,4696392549,Digital,WWT,Delivery,Registered,10 pc Spicy Wings,Regular Buffalo Fries,8 pc Grilled Wings Combo,Ranch Dip - Regular,10 pc Grilled Wings,Fried Corn - Regular
92570317,3989,8201462153,Digital,WWT,ToGo,Registered,Add 5 Grilled Wings,Large Buffalo Fries,8 pc Grilled Wings Combo,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
942411970,3302,1106412992,Digital,WWT,ToGo,Registered,Fried Corn - Large,2 pc Crispy Strips,Flavor Platter,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
752479101,2315,6017584435,Digital,WWT,ToGo,Registered,6 pc Grilled Wings Combo,10 pc Grilled Wings Combo,Fried Corn - Large,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
659566615,2517,7561380164,Digital,WWT,ToGo,Registered,3 pc Crispy Strips Combo,30 pc Family Grilled Wings,15 pc Spicy Wings,Ranch Dip - Regular,Regular Buffalo Fries,2 pc Crispy Strips
552054707,2734,8313745366,Digital,WWT,Delivery,Registered,10 pc Spicy Wings,4 pc Crispy Strips,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Grilled Wings,Ranch Dip - Large
641732217,801,7412481937,Digital,WWT,Delivery,Guest,20 pc Mixed Wings,Voodoo Fries - Regular,Regular Buffalo Fries,Ranch Dip - Regular,10 pc Spicy Wings,Large Buffalo Fries
782687122,4094,9404853975,Digital,WWT,ToGo,Guest,20pc Spicy Feast Deal,Large Buffalo Fries,Ranch Dip - Regular,Ranch Dip - Large,Regular Buffalo Fries,10 pc Grilled Wings
711176991,4391,5843303173,Digital,WWT,ToGo,Registered,20pc Spicy Feast Deal,Fried Corn - Large,Ranch Dip - Large,Ranch Dip - Regular,Large Buffalo Fries,10 pc Grilled Wings Combo
113063488,4750,5634013434,Digital,WWT,ToGo,Guest,Large Veggie Sticks Spicy,50 pc Mixed Wings,Ranch Dip - Large,Ranch Dip - Regular,Large Buffalo Fries,20pc Spicy Feast Deal
148437727,3989,3900783085,Digital,WWT,ToGo,Registered,10 pc Spicy Wings,Ranch Dip - Regular,20 Oz Soda,Regular Buffalo Fries,20pc Spicy Feast Deal,Ranch Dip - Large
517545136,1070,3607320592,Digital,WWT,Delivery,Registered,Fried Corn - Large,Ranch Dip - Large,40 pc Family Mixed Wings,20pc Spicy Feast Deal,Ranch Dip - Regular,Large Buffalo Fries
251340705,2513,1580421216,Digital,WWT,ToGo,Registered,5 pc Crispy Strips Combo,Cheese Fries - Large,15 pc Spicy Wings,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Spicy Wings
830737958,820,3428541028,Digital,WWT,ToGo,Guest,Veggie Sticks Spicy,10 pc Grilled Wings Combo,Fried Corn - Regular,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
479488590,4595,2093272018,Digital,WWT,ToGo,Registered,Cheese Fries - Large,Ranch Dip - Regular,15 pc Grilled Wings,Regular Buffalo Fries,20pc Spicy Feast Deal,Ranch Dip - Large
104316436,4391,5140584474,Digital,WWT,ToGo,Registered,15 pc Grilled Wings Combo,7 pc Crispy Strips,Fried Corn - Large,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
796657195,4595,9182095124,Digital,WWT,ToGo,Registered,Large Veggie Sticks Spicy,10 pc Grilled Wings Combo,Ranch Dip - Regular,20pc Spicy Feast Deal,Ranch Dip - Large,Regular Buffalo Fries
928737683,2513,9008976760,Digital,WWT,ToGo,Registered,Flavor Platter,2 pc Crispy Strips,Regular Buffalo Fries,Ranch Dip - Regular,20pc Spicy Feast Deal,Fried Corn - Regular
888121558,820,2610885654,Digital,WWT,Delivery,Registered,Ranch Dip - Large,20pc Spicy Feast Deal,Large Veggie Sticks Spicy,Ranch Dip - Regular,Large Buffalo Fries,10 pc Grilled Wings Combo
539034370,3989,6556987230,Digital,WWT,Delivery,Registered,Ranch Dip - Regular,6 pc Grilled Wings Combo,3 pc Crispy Strips Combo,10 pc Grilled Wings Combo,Regular Buffalo Fries,Dipping Sauce
644139747,400,6095674121,Digital,WWT,ToGo,Guest,20 Oz Soda,20pc Spicy Feast Deal,Cheese Dip - Medium,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Grilled Wings Combo
828846329,2156,8239324284,Digital,WWT,ToGo,Registered,Regular Buffalo Fries,10 pc Spicy Wings,4 pc Crispy Strips,Ranch Dip - Regular,10 pc Grilled Wings,Large Buffalo Fries
882876751,4094,2235489605,Digital,WWT,Delivery,Registered,Ranch Dip - Regular,Chicken Sub Combo,Chicken Sub,20pc Spicy Feast Deal,Regular Buffalo Fries,Ranch Dip - Large
800353976,1070,420263296,Digital,WWT,Delivery,Guest,6 pc Grilled Wings Combo,Regular Buffalo Fries,20 pc Grilled Wings,Ranch Dip - Regular,10 pc Spicy Wings,Large Buffalo Fries
950142020,4065,2853107028,Digital,WWT,ToGo,Guest,15 pc Grilled Wings Combo,10 pc Spicy Wings,Regular Buffalo Fries,Ranch Dip - Regular,10 pc Grilled Wings,Fried Corn - Regular
167486393,4065,2882485535,Digital,WWT,ToGo,Registered,6 pc Spicy Wings Combo,Chicken Sub,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Grilled Wings Combo,Ranch Dip - Large
997157436,1247,9388852439,Digital,WWT,ToGo,Registered,6 pc Grilled Wings Combo,Voodoo Fries - Large,Ranch Dip - Regular,20pc Spicy Feast Deal,Ranch Dip - Large,Regular Buffalo Fries
486934836,400,3663281732,Digital,WWT,ToGo,Guest,24 pc Family Grilled Wings,Add 5 Spicy Wings,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries,Ranch Dip - Large
866406991,857,3205313571,Digital,WWT,ToGo,Registered,6 pc Grilled Wings Combo,10 pc Grilled Wings Combo,Ranch Dip - Regular,8 pc Grilled Wings Combo,Regular Buffalo Fries,Dipping Sauce
804113173,2517,8488904198,Digital,WWT,ToGo,Registered,Ranch Dip - Regular,15 pc Grilled Wings,7 pc Crispy Strips,Regular Buffalo Fries,10 pc Grilled Wings,Ranch Dip - Large
956667181,1731,8833682485,Digital,WWT,ToGo,Guest,Flavor Platter,8 pc Spicy Wings Combo,Ranch Dip - Large,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
201904809,2517,507309741,Digital,WWT,ToGo,Registered,5 pc Crispy Strips Combo,8 pc Spicy Wings Combo,Carrot Sticks,Ranch Dip - Regular,10 pc Grilled Wings Combo,Regular Buffalo Fries
805499454,801,1420458152,Digital,WWT,ToGo,Registered,Regular Buffalo Fries,Ranch Dip - Regular,10 pc Grilled Wings Combo,10 pc Spicy Wings,Ranch Dip - Large,Fried Corn - Regular
75389782,801,1400514220,Digital,WWT,ToGo,Registered,Ranch Dip - Large,10 pc Grilled Wings,Large Buffalo Fries,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
110659103,3989,8005800972,Digital,WWT,ToGo,Registered,Veggie Sticks Spicy,2 pc Crispy Strips,8 pc Grilled Wings Combo,Ranch Dip - Regular,10 pc Grilled Wings Combo,Regular Buffalo Fries
801915049,2513,9195418958,Digital,WWT,ToGo,Registered,Ranch Dip - Regular,8 pc Mixed Wings Combo,Chicken Sub Combo,10 pc Grilled Wings Combo,Regular Buffalo Fries,Dipping Sauce
807524346,949,7616149255,Digital,WWT,Delivery,Registered,Chicken Sub Combo,10 pc Grilled Wings Combo,Ranch Dip - Regular,2 pc Crispy Strips,Regular Buffalo Fries,Dipping Sauce
652586081,2513,4743781689,Digital,WWT,ToGo,Guest,Fried Corn - Regular,10 pc Spicy Wings,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal,Ranch Dip - Large
851583581,1731,5459634450,Digital,WWT,ToGo,Registered,Ranch Dip - Regular,30 pc Spicy Wings,Cheese Fries - Regular,Ranch Dip - Large,Regular Buffalo Fries,10 pc Spicy Wings
628026677,949,9761469695,Digital,WWT,ToGo,Registered,30 pc Grilled Wings,Ranch Dip - Large,Large Buffalo Fries,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
68440506,4915,8026870762,Digital,WWT,Delivery,Registered,15 pc Spicy Wings Combo,Regular Buffalo Fries,Ranch Dip - Regular,10 pc Spicy Wings,Fried Corn - Regular,Ranch Dip - Large
628387996,4065,5519604346,Digital,WWT,ToGo,Registered,8 pc Grilled Wings Combo,2 pc Crispy Strips,10 pc Grilled Wings Combo,Ranch Dip - Regular,6 pc Grilled Wings Combo,Regular Buffalo Fries
754283787,4750,3443149720,Digital,WWT,ToGo,Registered,10 pc Grilled Wings,Ranch Dip - Regular,Large Buffalo Fries,Regular Buffalo Fries,20pc Spicy Feast Deal,Ranch Dip - Large
567878398,1765,5695784239,Digital,WWT,ToGo,Guest,20pc Spicy Feast Deal,Ranch Dip - Regular,Veggie Sticks Spicy,10 pc Grilled Wings Combo,Regular Buffalo Fries,Ranch Dip - Large
667834511,400,6539979064,Digital,WWT,ToGo,Registered,6 pc Spicy Wings Combo,6 pc Grilled Wings Combo,Ranch Dip - Regular,10 pc Grilled Wings Combo,Regular Buffalo Fries,Dipping Sauce
459429066,857,2100548803,Digital,WWT,ToGo,Registered,15 pc Grilled Wings,Ranch Dip - Large,10 pc Grilled Wings Combo,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
684058871,1249,9419859109,Digital,WWT,Delivery,Registered,Large Fruit Punch,15 pc Crispy Strips,5 pc Crispy Strips Combo,20pc Spicy Feast Deal,Ranch Dip - Regular,Large Buffalo Fries
46262059,820,7269411598,Digital,WWT,Delivery,Registered,Regular Buffalo Fries,20 Oz Soda,7 pc Crispy Strips,Ranch Dip - Regular,20pc Spicy Feast Deal,Large Buffalo Fries
398483308,4915,1617158734,Digital,WWT,ToGo,Registered,Regular Buffalo Fries,Fried Corn - Regular,Ranch Dip - Large,Ranch Dip - Regular,20pc Spicy Feast Deal,Large Buffalo Fries
344143914,1070,7560129921,Digital,WWT,ToGo,Registered,Ranch Dip - Regular,10 pc Grilled Wings Combo,5 pc Crispy Strips Combo,Regular Buffalo Fries,8 pc Grilled Wings Combo,Ranch Dip - Large
627164221,1249,3704712191,Digital,WWT,Delivery,Registered,30 pc Family Grilled Wings,Fried Corn - Large,2 pc Crispy Strips,Ranch Dip - Regular,20pc Spicy Feast Deal,Large Buffalo Fries
365857463,2517,4136734912,Digital,WWT,ToGo,Registered,Cheese Dip - Regular,3 pc Crispy Strips Combo,Regular Buffalo Fries,Ranch Dip - Regular,20pc Spicy Feast Deal,Fried Corn - Regular
5783045,801,2250143111,Digital,WWT,ToGo,Registered,Fried Corn - Regular,10 pc Spicy Wings,20 Oz Soda,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
346536705,4750,3302991162,Digital,WWT,Delivery,Registered,Fried Corn - Large,30 pc Grilled Wings,Ranch Dip - Regular,Ranch Dip - Large,Regular Buffalo Fries,20pc Spicy Feast Deal
303422953,801,7367995107,Digital,WWT,ToGo,Registered,Regular Buffalo Fries,Fried Corn - Regular,Ranch Dip - Regular,20pc Spicy Feast Deal,Ranch Dip - Large,Large Buffalo Fries
651161181,1249,6251705624,Digital,WWT,ToGo,Registered,8 pc Spicy Wings Combo,Add 5 Spicy Wings,Chicken Sub Combo,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
530147930,1913,5055546718,Digital,WWT,Delivery,Guest,20 pc Grilled Wings,Chicken Sub,4 pc Crispy Strips,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
910189992,3989,5674301849,Digital,WWT,ToGo,Guest,7 pc Crispy Strips,Regular Buffalo Fries,Triple Chocolate Cake,Ranch Dip - Regular,20pc Spicy Feast Deal,Large Buffalo Fries
245261230,2156,6235808560,Digital,WWT,ToGo,Registered,8 pc Grilled Wings Combo,Cheese Dip - Large,8 pc Spicy Wings Combo,Ranch Dip - Regular,Large Buffalo Fries,10 pc Grilled Wings Combo
4416881,4094,3064527094,Digital,WWT,ToGo,Registered,30 pc Family Grilled Wings,Add 5 Spicy Wings,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries,Ranch Dip - Large
371289572,4970,692173050,Digital,WWT,Delivery,Guest,8 pc Spicy Wings Combo,Ranch Dip - Regular,10 pc Spicy Wings Combo,10 pc Grilled Wings Combo,Regular Buffalo Fries,Ranch Dip - Large
269856603,3302,432530606,Digital,WWT,ToGo,Registered,Chicken Sub,Add 5 Grilled Wings,10 pc Grilled Wings Combo,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
879683043,1070,6605021198,Digital,WWT,ToGo,Guest,Honey Mustard Dip - Regular,Fried Corn - Regular,3 pc Crispy Strips Combo,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
315958232,801,1474861848,Digital,WWT,ToGo,Registered,Veggie Sticks Spicy,10 pc Spicy Wings,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal,Ranch Dip - Large
158427631,4970,6235540934,Digital,WWT,ToGo,Registered,6 pc Spicy Wings Combo,5 pc Crispy Strips Combo,15 pc Spicy Wings Combo,Ranch Dip - Regular,6 pc Grilled Wings Combo,Fried Corn - Regular
310547085,4915,1084179693,Digital,WWT,ToGo,Guest,Ranch Dip - Large,Large Veggie Sticks Spicy,10 pc Spicy Wings,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
966062888,1070,3083081458,Digital,WWT,ToGo,Registered,3 pc Crispy Strips Combo,7 pc Crispy Strips,Ranch Dip - Large,Regular Buffalo Fries,Ranch Dip - Regular,20pc Spicy Feast Deal
240603386,2315,2471266447,Digital,WWT,ToGo,Registered,10 pc Grilled Wings,Ranch Dip - Regular,6 pc Spicy Wings Combo,Regular Buffalo Fries,10 pc Grilled Wings Combo,Ranch Dip - Large
717793967,1905,9277376427,Digital,WWT,ToGo,Guest,Ranch Dip - Regular,25 pc Game Day Pack,10 pc Spicy Wings,Regular Buffalo Fries,10 pc Grilled Wings,Ranch Dip - Large
722730504,1731,3822095030,Digital,WWT,ToGo,Registered,8 pc Spicy Wings Combo,8 pc Grilled Wings Combo,Ranch Dip - Regular,10 pc Grilled Wings Combo,Regular Buffalo Fries,Dipping Sauce
399374791,1161,8635267939,Digital,WWT,ToGo,Guest,Large Buffalo Fries,Large Veggie Sticks Spicy,15 pc Grilled Wings,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
372985482,4970,9975385466,Digital,WWT,Delivery,Guest,Ranch Dip - Regular,20 Oz Soda,10 pc Grilled Wings,20pc Spicy Feast Deal,Regular Buffalo Fries,Ranch Dip - Large
875106489,1161,6002902756,Digital,WWT,ToGo,Guest,Large Buffalo Fries,Fried Corn - Regular,Flavor Platter,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
42464808,1731,9598626923,Digital,WWT,ToGo,Guest,15 pc Grilled Wings,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries,10 pc Grilled Wings,Ranch Dip - Large
